#Process description for the Pez edition data						
#Creator: Daniel Schopper						
#BIBL-VOL2: This process converts the bibliography of the first LIDOS export to MODS.						
#BIBL-VOL1: This process converts the bibliography of the first volume of the Pez edition to MODS. (Manually edited in Zotero)						
#BIBL-DIFF: Bibliography of volume 2 has been already manually edited in Zotero; bibliography of vol 1 contains some of the records in vol 2 and many new ones. This process extracts the one new ones into a sepearte file that is imported into Zotero and edited manually there						
#LETTERS-VOL1: Converts the letters in the first volume of the Pez edition from word to TEI (one document per letter)						
#LETTERS-VOL2: Converts the letters in the second volume of the Pez edition from word to TEI (one document per letter) - YET TO BE DONE!						
#INDEX-VOL1: Converts the index of volume 1 to a TEI list						
#INDEX-VOL2: Converts the index of volume 2 to a TEI list						
#INDEX-MERGE: Merges the indexes of volume 1 and 2 into one TEI list. YET TO BE FINISHED!						
#PERSONS-ENTITYLINKING: Entity linking of a list of persons to GND, VIAF and CERL						
#PERSON-IMAGE-RELATIONS: Creates a list of persons and their related images in UNIDAM						
#Conversion-ID	Step	Source	Format IN / OUT	Process/Script/Service	Manually / programmatically	Output
BIBL-VOL2	1	001_src\06b_Literaturverzeichnis_Endphase.doc	DOC / DOCX	DOCX export via MS Word	p	001_src\06b_Literaturverzeichnis_Endphase.docx
BIBL-VOL2	2	001_src\06b_Literaturverzeichnis_Endphase.docx	DOCX / TEI	DOCX to TEI conversion via Oxygen	p	102_01_derived_by_TEI_scripts\06b_Literaturverzeichnis_Endphase-TEI-P5.xml
BIBL-VOL2	3	102_01_derived_by_TEI_scripts\06b_Literaturverzeichnis_Endphase-TEI-P5.xml	TEI / MODS	082_scripts_xsl\doc2bibl.xsl	p	XXX LOST XXX
BIBL-VOL2	4	XXX LOST XXX	MODS / MODS	imported into Zotero manually edited, exported as MODS	m	092_metadata_mods\bibliography_vol2_2016-09-09.xml
BIBL-VOL1	1	001_src\Bd1_Bibliographie_formatiert_20090731.doc	DOC / DOCX	DOCX export via MS Word	p	001_src\Bd1_Bibliographie_formatiert_20090731.docx
BIBL-VOL1	2	001_src\Bd1_Bibliographie_formatiert_20090731.docx	DOCX / TEI	DOCX to TEI conversion via Oxygen	p	102_01_derived_by_TEI_scripts\Bd1_Bibliographie_formatiert_20090731-TEI-P5.xml
BIBL-VOL1	3	102_01_derived_by_TEI_scripts\Bd1_Bibliographie_formatiert_20090731-TEI-P5.xml	TEI / MODS	082_scripts_xsl\doc2bibl.xsl	p	092_metadata_mods\bibliography_vol1_auto_2016-09-12.xml
BIBL-DIFF	1	092_metadata_mods\bibliography_vol1_auto_2016-09-12.xml + 092_metadata_mods\bibliography_vol2_2016-09-09.xml	MODS / MODS	bibl_removeDuplicates.xsl	p	092_metadata_mods\unedited_entries_2016-09-12.xml
# Letters conversions						
LETTERS-VOL1	1	001_src\Einheitsfile_formatiert_20090729.doc	DOC / DOCX	DOCX export via MS Word	p	001_src\Einheitsfile_formatiert_20090729.docx
LETTERS-VOL1	2	001_src\Einheitsfile_formatiert_20090729.docx	DOCX / TEI	DOCX to TEI conversion via Oxygen	p	102_01_derived_by_TEI_scripts\Einheitsfile_formatiert_20090729-TEI-P5.xml
LETTERS-VOL1	3	102_01_derived_by_TEI_scripts\Einheitsfile_formatiert_20090729-TEI-P5.xml	TEI / TEI	082_scripts_xsl\splitLetters.xsl	p	102_derived_tei\102_03_extracted_letters
LETTERS-VOL2	1	001_src\02_Edition_Endphase_schwarz.doc	DOC / DOCX	DOCX export via MS Word	p	001_src\02_Edition_Endphase_schwarz.docx
LETTERS-VOL2	2	001_src\02_Edition_Endphase_schwarz.docx	DOCX / TEI	DOCX to TEI conversion via Oxygen	p	
LETTERS-VOL2	3	102_01_derived_by_TEI_scripts\Einheitsfile_formatiert_20090729-TEI-P5.xml	TEI / TEI	082_scripts_xsl\splitLetters.xsl	p	
# Index conversions						
INDEX-VOL1	1	001_src\Register_20090805.doc	DOC / DOCX	DOCX export via MS Word	p	001_src\Register_20090805.docx
