id,name,name_part,provided_gnd
org_0001,geistliche > Benediktiner > Österreichische Kongregation > Melk,Melk,http://d-nb.info/gnd/82463-X
org_0002,geistliche > Säkularklerus > Würzburg - Fürstbistum,Würzburg - Fürstbistum,
org_0003,weltliche,weltliche,
org_0004,geistliche > Benediktiner > Österreichische Kongregation > Göttweig,Göttweig,http://d-nb.info/gnd/2103432-1
org_0005,geistliche > Benediktiner > Bursfelder Kongregation > Köln - Groß St. Martin,Köln - Groß St. Martin,
org_0006,weltliche > Wien - Hof,Wien - Hof,
org_0007,geistliche > Benediktiner > St. Blasien,St. Blasien,http://d-nb.info/gnd/1088887708
org_0008,geistliche > Benediktiner > Helvetische Kongregation > St. Gallen,St. Gallen,http://d-nb.info/gnd/1088891446
org_0009,geistliche > Benediktiner > Österreichische Kongregation > Lambach,Lambach,http://d-nb.info/gnd/1048727-X
org_0010,geistliche > Benediktiner > Maurinerkongregation,Maurinerkongregation,
org_0011,geistliche > Benediktiner > Beuroner Kongregation > Beuron,Beuron,http://d-nb.info/gnd/10290268-9
org_0012,geistliche > Benediktiner > Cassinenser Kongregation > Montecassino,Montecassino,http://d-nb.info/gnd/1087296986
org_0013,geistliche > Benediktiner > Kongregation von St.-Vanne > Senones,Senones,
org_0014,geistliche > Kartäuser > Gaming,Gaming,http://d-nb.info/gnd/3011144-4
org_0015,geistliche > Benediktiner > Reichenau,Reichenau,http://d-nb.info/gnd/4193476-3
org_0016,geistliche > Augustiner-Chorherren > St. Florian,St. Florian,http://d-nb.info/gnd/2018820-1
org_0017,geistliche > Camaldulenser > Murano - S. Michele,Murano - S. Michele,
org_0018,geistliche > Benediktiner > Österreichische Kongregation > Mondsee,Mondsee,http://d-nb.info/gnd/4402803-9
org_0019,geistliche > Benediktiner > Bayerische Kongregation > Tegernsee,Tegernsee,http://d-nb.info/gnd/809501-2
org_0020,geistliche > Benediktiner > Salzburgische Kongregation > Salzburg - St. Peter,Salzburg - St. Peter,
org_0021,weltliche > Hannover - Hof,Hannover - Hof,
org_0022,geistliche > Benediktiner > Bursfelder Kongregation > Köln - St. Pantaleon,Köln - St. Pantaleon,
org_0023,geistliche > Benediktiner > Bursfelder Kongregation > Corvey,Corvey,http://d-nb.info/gnd/2071959-0
org_0024,geistliche > Benediktiner > Bursfelder Kongregation > Paderborn - Abdinghof,Paderborn - Abdinghof,
org_0025,geistliche > Benediktiner > Bursfelder Kongregation > Erfurt - St. Peter,Erfurt - St. Peter,
org_0026,geistliche > Jesuiten,Jesuiten,
org_0027,geistliche > Benediktiner > Böhmische Kongregation > Břevnov/Braunau (Broumov),Břevnov/Braunau (Broumov),http://d-nb.info/gnd/4318686-5
org_0028,geistliche > Benediktiner > Salzburgische Kongregation > Admont,Admont,http://d-nb.info/gnd/126116-2
org_0029,geistliche > Benediktiner > Bayerische Kongregation > Andechs,Andechs,http://d-nb.info/gnd/4310732-1
org_0030,geistliche > Benediktiner > Helvetische Kongregation > Disentis,Disentis,http://d-nb.info/gnd/1095228-7
org_0031,geistliche > Benediktiner > Bayerische Kongregation > Regensburg - St. Emmeram,Regensburg - St. Emmeram,
org_0032,geistliche > Benediktiner > Bursfelder Kongregation > Gladbach,Gladbach,http://d-nb.info/gnd/16277855-7
