id,name,forename,surname,provided_gnd
person__0,,,,
person__1,Berthold Dietmayr,Berthold,Dietmayr,
person__2,Gottfried von Admont,Gottfried von Admont,,
person__3,Irimbert von Admont,Irimbert von Admont,,
person__4,Apronian Hueber,Apronian,Hueber,
person__7,Ursin Durand,Ursin,Durand,http://d-nb.info/gnd/14396156X
person__8,Edmond Martène,Edmond,Martène,
person__12,Johann Friedrich Schannat,Johann Friedrich,Schannat,
person__13,Ignaz Eduard Kathrein,Ignaz Eduard,Kathrein,
person__14,Anselm Schramb,Anselm,Schramb,
person__15,René Massuet,René,Massuet,
person__16,Bernhard Pez,Bernhard,Pez,
person__17,Hieronymus Pez,Hieronymus,Pez,
person__18,Gottfried Bessel,Gottfried,Bessel,http://d-nb.info/gnd/118662562
person__19,Oliver Legipont,Oliver,Legipont,
person__20,Eduard Ernst Katschthaler,Eduard Ernst,Katschthaler,
person__21,Pius Nikolaus Garelli,Pius Nikolaus,Garelli,
person__22,Marquard Herrgott,Marquard,Herrgott,
person__23,Vitalis Waldmüller,Vitalis,Waldmüller,
person__24,Girolamo Grimaldi,Girolamo,Grimaldi,
person__25,Johann Benedikt Gentilotti,Johann Benedikt,Gentilotti,
person__26,Johann Georg Eckhart,Johann Georg,Eckhart,http://d-nb.info/gnd/118958461
person__27,Franz Joseph Hahn,Franz Joseph,Hahn,
person__28,Gottfried Wilhelm Leibniz,Gottfried Wilhelm,Leibniz,
person__29,Gustav Scherrer,Gustav,Scherrer,
person__30,Moritz Müller,Moritz,Müller,
person__31,Pierre Cordier,Pierre,Cordier,http://d-nb.info/gnd/142063894
person__32,Jean Mabillon,Jean,Mabillon,
person__33,Odon Clergier,Odon,Clergier,
person__34,Michel Germain,Michel,Germain,http://d-nb.info/gnd/119148676
person__35,Ildephons Prandtner,Ildephons,Prandtner,
person__36,Gundakar Thomas Graf Starhemberg,Gundakar Thomas Graf,Starhemberg,
person__38,Karl VI.,Karl VI.,,
person__39,Melk - Kapitel,,Melk - Kapitel,
person__40,Karlmann Hueber,Karlmann,Hueber,
person__41,Johann Anton Kravogl,Johann Anton,Kravogl ,
person__43,Gabriel Wengemayr,Gabriel,Wengemayr,
person__44,Jean Rafflin,Jean,Rafflin,
person__45,Francois Gesvres,Francois,Gesvres,http://d-nb.info/gnd/138083339
person__46,Magnoald Ziegelbauer,Magnoald,Ziegelbauer,
person__47,Rupert von Deutz,Rupert von Deutz,,
person__48,Hl. Wolbodo,Hl. Wolbodo,,
person__49,Karl Meichelbeck,Karl,Meichelbeck,
person__50,Honorius Khobalter,Honorius,Khobalter,
person__51,Maurus Oberascher,Maurus,Oberascher,
person__52,Koloman von Seeau,Koloman von,Seeau,
person__53,Leopold Wydemann,Leopold,Wydemann,
person__54,Ludolf von Sachsen,Ludolf von Sachsen,,
person__55,Candidus Priger,Candidus,Priger,
person__56,Chrysostomus Mintart,Chrysostomus,Mintart,
person__57,Martin Kropff,Martin,Kropff,
person__58,Juan Caramuel y Lobkowitz,Juan ,Caramuel y Lobkowitz,
person__59,Markus Hansiz,Markus,Hansiz,http://d-nb.info/gnd/132325357
person__60,Ulrich von Passau,Ulrich von Passau,,
person__61,Leopold III.,Leopold III.,,
person__62,Chrysostomus Hanthaler,Chrysostomus,Hanthaler,
person__63,Paolo Gravina,Paolo,Gravina,
person__64,Bartolomeo Taverna,Bartolomeo,Taverna,
person__65,Valeriano de Franchis,Valeriano de,Franchis,
person__66,Niccolò Riccioli,Niccolò,Riccioli,
person__67,Baldassare Morabito,Baldassare,Morabito,
person__68,Camillo Mancini,Camillo,Mancini,
person__69,Bartolomeo de Alexandro,Bartolomeo de,Alexandro,
person__70,Urban Hauer,Urban,Hauer,
person__71,Johann Wilhelm Graf Wurmbrand,Johann Wilhelm Graf ,Wurmbrand,
person__72,Melchior Goldast von Haiminsfeld,Melchior,Goldast von Haiminsfeld,
person__73,André Duchesne,André,Duchesne,http://d-nb.info/gnd/159345146
person__74,Heinrich Meibom,Heinrich,Meibom,
person__75,Hepidanus von St. Gallen,Hepidanus von St. Gallen,,
person__77,Joseph Bernhard Graf Sinzendorf,Joseph Bernhard Graf,Sinzendorf,
person__78,Willibald Fabianitsch,Willibald,Fabianitsch,
person__79,Domenico Silvio Passionei,Domenico Silvio,Passionei,
person__80,N. Treller,N.,Treller,
person__81,Bernard de Montfaucon,Bernard de,Montfaucon,
person__82,Bruno Albers,Bruno,Albers,
person__86,Gregorio Galisio,Gregorio,Galisio,
person__87,Augustin Calmet,Augustin,Calmet,http://d-nb.info/gnd/118666665
person__88,Prudent Maran,Prudent,Maran,
person__89,Denis Faucher,Denis,Faucher,
person__90,Vincent Barral,Vincent,Barral ,
person__91,Rudolf Gwicht,Rudolf,Gwicht,
person__92,Augustin Stöcklin,Augustin,Stöcklin,
person__93,Dominik Tschudi,Dominik,Tschudi,
person__94,Placidus Zurlauben,Placidus,Zurlauben,
person__95,Martin Brunner,Martin,Brunner,
person__96,Anselm Weißenbach,Anselm,Weißenbach,
person__97,Hermann Dogeniller,Hermann,Dogeniller,
person__98,Vidricus von St.-Evre zu Toul,Vidricus von St.-Evre zu Toul,,
person__99,Amand D'Auzécourt,Amand,D'Auzécourt,
person__100,Benedikt Studer,Benedikt,Studer,
person__101,Leodegar Holdermeier,Leodegar,Holdermeier,
person__102,Heinrich von Langenstein,Heinrich von Langenstein,,
person__104,Anton Volmar,Anton,Volmar,
person__105,Alanus ab Insulis (Alain de Lille),Alanus ab Insulis (Alain de Lille),,
person__106,Henri de Sully,Henri de Sully,,
person__107,Paul von Jägerndorf,Paul von Jägerndorf,,
person__108,Zacharias Schimpke,Zacharias,Schimpke,
person__109,Wilhelm Fraunberger,Wilhelm,Fraunberger,
person__110,Johann Georg Wiesmayr,Johann Georg,Wiesmayr,
person__111,Maurus Kinter,Maurus,Kinter,
person__112,Vinzenz Knauer,Vinzenz,Knauer,
person__113,Angelo Calogiera,Angelo,Calogiera,http://d-nb.info/gnd/10063172X
person__114,Philibert Hueber,Philibert,Hueber,
person__115,Alphons Hueber,Alphons,Hueber,
